,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
11,0.050391769409179686,0.0011696338653564454,0.22796934865900384,0.25919479470187295,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 20}",32,0.3142857142857143,0.3489208633093525,0.2761904761904762,0.37050359712230213,0.15714285714285714,0.1906474820143885,0.1932367149758454,0.1863799283154122,0.19806763285024154,0.19952210274790919,0.04072708284049524,0.000648670268460472,0.058240119388517315,0.08246452072571674
12,0.037472200393676755,0.0009297370910644531,0.33524904214559387,0.3505178652776703,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 25}",20,0.32857142857142857,0.31894484412470026,0.3238095238095238,0.32014388489208634,0.2714285714285714,0.3333333333333333,0.40096618357487923,0.36081242532855434,0.3526570048309179,0.41935483870967744,0.014383918339754215,0.00023571260268556924,0.042082916241462036,0.037574590790202325
13,0.06602859497070312,0.0008016586303710938,0.38984674329501917,0.4300757243667432,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 30}",2,0.3619047619047619,0.3980815347721823,0.38095238095238093,0.4136690647482014,0.40476190476190477,0.47721822541966424,0.4444444444444444,0.4659498207885305,0.357487922705314,0.3954599761051374,0.01839352413241515,8.57985754337913e-05,0.0318804780241076,0.034642236864748266
14,0.010630941390991211,0.0005085945129394531,0.33620689655172414,0.3378905477768323,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 2}",19,0.3380952380952381,0.3345323741007194,0.30952380952380953,0.34532374100719426,0.30952380952380953,0.3441247002398082,0.3961352657004831,0.3249701314217443,0.3285024154589372,0.34050179211469533,0.0012902188648058837,1.498543749160343e-05,0.03179635409846985,0.007471948939216755
15,0.03495697975158692,0.0007876396179199219,0.2825670498084291,0.29360167779754687,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 5}",26,0.28095238095238095,0.2961630695443645,0.29523809523809524,0.31654676258992803,0.2904761904761905,0.2949640287769784,0.2608695652173913,0.27837514934289126,0.28502415458937197,0.2819593787335723,0.005069094226881835,0.00039145114664363036,0.011829809618851985,0.013433420564225964
16,0.020675802230834962,0.0006170272827148438,0.2078544061302682,0.22346595841606284,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 10}",33,0.19047619047619047,0.22422062350119903,0.18095238095238095,0.19544364508393286,0.26666666666666666,0.31534772182254195,0.18840579710144928,0.19474313022700118,0.21256038647342995,0.1875746714456392,0.011759765912855238,2.1379115098057383e-05,0.03132832544491699,0.04762617631120654
17,0.0300351619720459,0.0011126041412353516,0.29022988505747127,0.29624730323268267,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 15}",25,0.28095238095238095,0.26258992805755393,0.2761904761904762,0.328537170263789,0.319047619047619,0.3405275779376499,0.32367149758454106,0.2628434886499403,0.25120772946859904,0.2867383512544803,0.01237660360507927,0.0005371410601993712,0.027343523288867334,0.03268771065986497
18,0.041441917419433594,0.0017524242401123046,0.23850574712643677,0.2703566179314613,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 20}",30,0.18571428571428572,0.20623501199040767,0.32857142857142857,0.4028776978417266,0.24285714285714285,0.20503597122302158,0.15942028985507245,0.23775388291517324,0.2753623188405797,0.2998805256869773,0.04688778570279072,0.0021963819346870707,0.06087320142691179,0.07466565919504092
19,0.04537944793701172,0.0009566307067871094,0.2768199233716475,0.28955588217597966,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 25}",27,0.2857142857142857,0.328537170263789,0.30952380952380953,0.3117505995203837,0.22857142857142856,0.290167865707434,0.2898550724637681,0.3070489844683393,0.27053140096618356,0.21027479091995221,0.01611426438225456,0.0006154481174985083,0.027218399387016853,0.041482576779614484
20,0.05234823226928711,0.0007334232330322265,0.2021072796934866,0.2237418667216764,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 30}",34,0.12857142857142856,0.16906474820143885,0.10952380952380952,0.1342925659472422,0.1619047619047619,0.1498800959232614,0.2463768115942029,0.26045400238948624,0.3671497584541063,0.4050179211469534,0.04200260463376088,0.00014798949835945156,0.09447982773269267,0.10065298276501948
