,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
11,0.642472791671753,0.000794076919555664,0.4952107279693487,0.5459804199651032,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 20}",6,0.5,0.5575539568345323,0.4857142857142857,0.5419664268585132,0.45714285714285713,0.5431654676258992,0.5024154589371981,0.5567502986857825,0.5314009661835749,0.5304659498207885,0.07961755760948973,8.15745048409415e-05,0.02417090882465882,0.010145658426309751
12,0.7000709056854248,0.0007906436920166015,0.5105363984674329,0.562023499479986,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 25}",4,0.5095238095238095,0.5563549160671463,0.5285714285714286,0.564748201438849,0.49523809523809526,0.5683453237410072,0.5072463768115942,0.5627240143369175,0.5120772946859904,0.5579450418160096,0.0646642211663934,7.710478964864119e-05,0.010739001949098406,0.004396517682025623
13,0.7708578109741211,0.0009905338287353516,0.5201149425287356,0.5802291500133226,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 30}",2,0.5238095238095238,0.5743405275779376,0.5238095238095238,0.5827338129496403,0.4714285714285714,0.5959232613908872,0.5217391304347826,0.5746714456391876,0.5603864734299517,0.5734767025089605,0.10376137422454669,0.00010351272584008748,0.028361497517381363,0.008529219984874723
14,0.13539609909057618,0.0005292415618896485,0.3879310344827586,0.39415177535391044,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 2}",24,0.38571428571428573,0.38609112709832133,0.38095238095238093,0.3824940047961631,0.3761904761904762,0.4064748201438849,0.391304347826087,0.4002389486260454,0.4057971014492754,0.3954599761051374,0.06787428072678807,8.070254428667634e-05,0.010200807957171378,0.00884873058945333
15,0.3025063991546631,0.0007234096527099609,0.42911877394636017,0.4432514203690811,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 5}",18,0.42857142857142855,0.4616306954436451,0.4142857142857143,0.43884892086330934,0.4095238095238095,0.4352517985611511,0.4492753623188406,0.45161290322580644,0.4444444444444444,0.42891278375149344,0.045109099743814864,0.0002506114481781427,0.015769538446667567,0.011804106055515231
16,0.3912371635437012,0.0007339000701904296,0.4703065134099617,0.4889920321807071,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 10}",10,0.44285714285714284,0.49760191846522783,0.4857142857142857,0.4880095923261391,0.4666666666666667,0.49160671462829736,0.4830917874396135,0.4862604540023895,0.47342995169082125,0.48148148148148145,0.13359254979680701,0.00016889215386972243,0.015372784308323572,0.005400033061970236
17,0.3820305824279785,0.0006480216979980469,0.48084291187739464,0.5136484360898377,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 15}",8,0.45714285714285713,0.5179856115107914,0.4666666666666667,0.5071942446043165,0.48095238095238096,0.5143884892086331,0.4830917874396135,0.5053763440860215,0.5169082125603864,0.5232974910394266,0.07075590610049104,9.154217877731576e-05,0.020305469430708316,0.006671538421118824
18,0.48240957260131834,0.000645589828491211,0.49808429118773945,0.5464591767446259,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 20}",5,0.5047619047619047,0.5575539568345323,0.48095238095238096,0.5407673860911271,0.46190476190476193,0.5455635491606715,0.5072463768115942,0.5555555555555556,0.5362318840579711,0.5328554360812425,0.06856356289328353,2.8443406433505495e-05,0.025228677574669033,0.009209762671907479
19,0.5589452266693116,0.0006986141204833984,0.5114942528735632,0.5625039753143722,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 25}",3,0.5095238095238095,0.5563549160671463,0.5285714285714286,0.5671462829736211,0.49523809523809526,0.5695443645083933,0.5120772946859904,0.5651135005973715,0.5120772946859904,0.5543608124253285,0.0667551138878905,6.579616754252122e-05,0.010617592490410515,0.006034065860966648
20,0.701932144165039,0.0006420612335205078,0.5220306513409961,0.5802274309584591,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 30}",1,0.5285714285714286,0.5719424460431655,0.5238095238095238,0.5839328537170264,0.47619047619047616,0.5947242206235012,0.5169082125603864,0.5758661887694145,0.5652173913043478,0.5746714456391876,0.06307312347656659,4.1811577085543885e-05,0.02840647009650826,0.008275475210020086
21,0.016952991485595703,0.0006222248077392579,0.38122605363984674,0.38122620183423156,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 2}",25,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38095238095238093,0.381294964028777,0.38164251207729466,0.3811230585424134,0.38164251207729466,0.3811230585424134,0.000176653526770328,1.366569041755828e-05,0.00033759931841486414,8.42161451151526e-05
